"","gene","gene_chr","gene_start","gene_end","loci","loci_chr","loci_pos","cis_effect"
"49","Arih2","9",108602942,108649386,"9_107781873",9,107781873,1
"50","Arih2","9",108602942,108649386,"9_108273259",9,108273259,1
"51","Arl2bp","8",94666600,94674425,"2_85122984",2,85122984,0
"52","Asna1","8",85017931,85025281,"2_84977188",2,84977188,0
"53","Atg101","15",101284272,101290945,"2_77455707.5",2,77455707.5,0
"54","Atp2b1","10",98914406,99026143,"10_98520282",10,98520282,1
"55","Atp2b1","10",98914406,99026143,"10_99518027.5",10,99518027.5,1
"56","Atp5e","2",174461072,174464105,"2_173563093",2,173563093,1
"57","Aup1","6",83054521,83057808,"2_84349559.5",2,84349559.5,0
"58","Aurkaip1","4",155831272,155833130,"4_155790121.5",4,155790121.5,1
"59","Bbx","16",50191844,50432390,"16_50433631",16,50433631,1
"60","Bbx","16",50191844,50432390,"16_51230181",16,51230181,1
"61","Bcas2","3",103171655,103179166,"2_84974555",2,84974555,0
"62","Bccip","7",133709333,133721145,"2_84350704",2,84350704,0
"63","Birc3","9",7848699,7873186,"9_7749911",9,7749911,1
"64","Birc6","17",74528295,74703356,"2_84974555",2,84974555,0
"65","Birc6","17",74528295,74703356,"17_74967934",17,74967934,1
"66","Birc6","17",74528295,74703356,"17_75280712",17,75280712,1
"67","Bloc1s4","5",36747378,36748650,"2_169688642",2,169688642,0
"68","Bloc1s4","5",36747378,36748650,"2_170642516",2,170642516,0
"69","Bnip2","9",69989466,70008317,"9_70748718.5",9,70748718.5,1
"70","Bri3","5",144244437,144446757,"5_143508446",5,143508446,1
"71","Bri3","5",144244437,144446757,"5_144192975",5,144192975,1
"72","Bub3","7",131560222,131571895,"2_77568354",2,77568354,0
"73","Bud31","5",145140362,145148078,"5_144166095",5,144166095,1
"74","Cacybp","1",160202367,160212875,"1_159424509",1,159424509,1
"75","Cacybp","1",160202367,160212875,"1_160080982.5",1,160080982.5,1
"76","Car2","3",14886273,14900770,"3_14564045",3,14564045,1
"77","Car2","3",14886273,14900770,"3_15100915.5",3,15100915.5,1
"78","Carhsp1","16",8658580,8672155,"2_84974555",2,84974555,0
"79","Ccdc107","4",43492900,43495921,"4_42892748",4,42892748,1
"80","Ccdc107","4",43492900,43495921,"4_43365286",4,43365286,1
"81","Ccdc59","10",105841067,105847833,"8_43471583",8,43471583,0
"82","Ccdc59","10",105841067,105847833,"8_44253141",8,44253141,0
"83","Ccdc9","7",16274042,16286795,"7_15901407",7,15901407,1
"84","Ccdc9","7",16274042,16286795,"7_16420417.5",7,16420417.5,1
"85","Ccndbp1","2",121008403,121016904,"12_71528957",12,71528957,0
"86","Ccng1","11",40748552,40755311,"2_169688642",2,169688642,0
"87","Ccng1","11",40748552,40755311,"2_170500925.5",2,170500925.5,0
"88","Ccni","5",93181933,93206495,"5_92438887",5,92438887,1
"89","Cd38","5",43868553,43912375,"2_84974555",2,84974555,0
"90","Cdc123","2",5794294,5845164,"2_84229888",2,84229888,0
"91","Cdc26","4",62383654,62408642,"2_84974555",2,84974555,0
"92","Cdc5l","17",45391884,45433737,"2_169688642",2,169688642,0
"93","Cdc5l","17",45391884,45433737,"2_170530533.5",2,170530533.5,0
"94","Cdipt","7",126975914,126980501,"7_127942157",7,127942157,1
"95","Celf1","2",90940382,91019497,"2_84954715",2,84954715,0
"96","Cfdp1","8",111768491,111854291,"6_32728252",6,32728252,0
"97","Cfdp1","8",111768491,111854291,"6_33226609.5",6,33226609.5,0
"98","Chchd2","5",129881156,129887470,"5_130443699",5,130443699,1
"99","Chd3","11",69343273,69369406,"8_40917088",8,40917088,0
"100","Chd3","11",69343273,69369406,"8_41118204",8,41118204,0
"101","Chst12","5",140505550,140525724,"2_169688642",2,169688642,0
"102","Chst12","5",140505550,140525724,"2_170486583",2,170486583,0
"103","Cltb","13",54592401,54611344,"2_84974555",2,84974555,0
"104","Cmtm7","9",114756836,114781856,"8_40032552",8,40032552,0
"105","Cmtm7","9",114756836,114781856,"8_41118204",8,41118204,0
"106","Cmtm7","9",114756836,114781856,"9_114644253",9,114644253,1
"107","Cmtm7","9",114756836,114781856,"9_115107639",9,115107639,1
"108","Cnot2","10",116485161,116581511,"2_83390907",2,83390907,0
"109","Commd6","14",101632981,101640686,"2_77568354",2,77568354,0
"110","Cops4","5",100518309,100547803,"2_89853201",2,89853201,0
"111","Coro1c","5",113842436,113908758,"2_84974555",2,84974555,0
"112","Cpsf6","10",117344673,117380015,"10_116583182.5",10,116583182.5,1
"113","Crip1","12",113146316,113153879,"12_112444266",12,112444266,1
"114","Crip1","12",113146316,113153879,"12_113334338.5",12,113334338.5,1
"115","Ctsz","2",174427493,174439039,"2_84974555",2,84974555,0
"116","Cxcl2","5",90903871,90905938,"5_90549856",5,90549856,1
"117","Cxcl2","5",90903871,90905938,"5_91193415",5,91193415,1
"118","Cyp4f16","17",32536558,32551798,"17_32737094",17,32737094,1
"119","Cyp4f16","17",32536558,32551798,"17_33535559",17,33535559,1
"120","Cyp51","5",4081145,4104746,"5_4374756",5,4374756,1
"121","Dapk3","10",81183005,81193197,"8_43471583",8,43471583,0
"122","Ddx5","11",106780355,106789185,"11_106577837",11,106577837,1
"123","Ddx5","11",106780355,106789185,"11_107284366",11,107284366,1
"124","Dek","13",47084775,47106201,"2_84974555",2,84974555,0
"125","Derl1","15",57869502,57892448,"8_43471583",8,43471583,0
"126","Derl1","15",57869502,57892448,"8_44300531",8,44300531,0
"127","Dmtf1","5",9118801,9161776,"5_8354875",5,8354875,1
"128","Dmtf1","5",9118801,9161776,"5_9096799",5,9096799,1
"129","Dnajc1","2",18195654,18392830,"2_85122984",2,85122984,0
"130","Dnajc8","4",132535550,132553742,"8_43471583",8,43471583,0
"131","Dnajc8","4",132535550,132553742,"8_44253141",8,44253141,0
"132","Dusp10","1",184013302,184075636,"1_183935800",1,183935800,1
"133","Dusp10","1",184013302,184075636,"1_184192812",1,184192812,1
"134","Dusp11","6",85942268,85961667,"8_43471583",8,43471583,0
"135","Dynll1","5",115297110,115300999,"5_115809731",5,115809731,1
"136","Dynlrb1","2",155236533,155250277,"2_84974555",2,84974555,0
"137","E2f4","8",105297663,105305370,"20_141464553.5",20,141464553.5,0
"138","E2f4","8",105297663,105305370,"20_142544273",20,142544273,0
"139","Eapp","12",54670340,54695897,"20_142544273",20,142544273,0
"140","Ece1","4",137862237,137965229,"4_137189639",4,137189639,1
"141","Eef1a1","9",78478449,78489151,"2_169701486",2,169701486,0
"142","Eef1a1","9",78478449,78489151,"2_170502205",2,170502205,0
"143","Eif3j1","2",122028546,122056598,"2_121229975",2,121229975,1
"144","Eif4e2","1",87213914,87240488,"1_86308802",1,86308802,1
"145","Erp29","5",121428590,121452506,"8_43471583",8,43471583,0
"146","Erp29","5",121428590,121452506,"8_44300531",8,44300531,0
"147","Fam102a","2",32535332,32569756,"2_169688642",2,169688642,0
"148","Fam102a","2",32535332,32569756,"2_170486583",2,170486583,0
"149","Fam104a","11",113661319,113684155,"2_84974555",2,84974555,0
"150","Fam110a","2",151969398,151980219,"2_152873433",2,152873433,1
"151","Fam133b","5",3543833,3570238,"5_3578631",5,3578631,1
"152","Fam133b","5",3543833,3570238,"5_4304661",5,4304661,1
"153","Fam189b","3",89183143,89189295,"3_88549740",3,88549740,1
"154","Fam50a","X",74313033,74320149,"2_84974555",2,84974555,0
"155","Fgl2","5",21372642,21378374,"5_21560255",5,21560255,1
"156","Fmnl1","11",103171107,103198901,"2_84974555",2,84974555,0
"157","Fos","12",85473890,85477273,"2_84974555",2,84974555,0
"158","Foxp1","6",98925338,99522721,"1_154563598.5",1,154563598.5,0
"159","Foxp1","6",98925338,99522721,"1_155567346",1,155567346,0
"160","Foxp1","6",98925338,99522721,"1_156591466",1,156591466,0
"161","Foxp1","6",98925338,99522721,"2_78855924",2,78855924,0
"162","Fryl","5",73019987,73256619,"5_73651959.5",5,73651959.5,1
"163","Fth1","19",9980598,9985098,"19_10167257",19,10167257,1
"164","Fuca1","4",135920735,135940311,"4_134989185",4,134989185,1
"165","Fuca1","4",135920735,135940311,"4_135199012",4,135199012,1
"166","Fxr1","3",34019943,34070322,"8_43471583",8,43471583,0
"167","Fxr1","3",34019943,34070322,"8_44300531",8,44300531,0
"168","Fxyd5","7",31032722,31042481,"7_30304149.5",7,30304149.5,1
"169","Fyn","10",39368855,39565381,"2_84974555",2,84974555,0
"170","Gatad2a","8",69907076,69996384,"2_84974555",2,84974555,0
"171","Gch1","14",47153895,47189413,"14_46742400",14,46742400,1
"172","Gch1","14",47153895,47189413,"14_47539659",14,47539659,1
"173","Gem","4",11704457,11714752,"4_10938440",4,10938440,1
"174","Ggnbp2","11",84832361,84870817,"2_84974555",2,84974555,0
"175","Glo1","17",30584936,30626871,"17_30983711",17,30983711,1
"176","Glo1","17",30584936,30626871,"17_31433886",17,31433886,1
"177","Glrx5","12",105032688,105042906,"2_84974555",2,84974555,0
"178","Glul","1",153899944,153909723,"2_84974555",2,84974555,0
"179","Gm2000","1",156366040,156366484,"1_156483100",1,156483100,1
"180","Gmfg","7",28437447,28448233,"7_28594902",7,28594902,1
"181","Gna13","11",109362831,109401369,"11_109579430.5",11,109579430.5,1
"182","Gna13","11",109362831,109401369,"11_110079739",11,110079739,1
"183","Gnai3","3",108107280,108146146,"2_169688642",2,169688642,0
"184","Gnai3","3",108107280,108146146,"2_170493114.5",2,170493114.5,0
"185","Gnl3","14",31012433,31019152,"6_34431777",6,34431777,0
"186","Gpr171","3",59096448,59101821,"6_32788492",6,32788492,0
"187","Gpx1","9",108338903,108340343,"9_107637130",9,107637130,1
"188","Grb2","11",115644045,115708597,"11_115958371",11,115958371,1
"189","Grb2","11",115644045,115708597,"11_116295002",11,116295002,1
"190","Gspt1","16",11219292,11254325,"8_43471583",8,43471583,0
"191","Gspt1","16",11219292,11254325,"8_44253141",8,44253141,0
"192","H2-Ke6","17",34026033,34028060,"2_86045509",2,86045509,0
"193","H2-Q4","17",35379617,35385290,"17_34817504",17,34817504,1
"194","H2-Q4","17",35379617,35385290,"17_35503627",17,35503627,1
"195","H2-Q6","17",35424850,35430055,"17_34738895",17,34738895,1
"196","H2-Q6","17",35424850,35430055,"17_35110019",17,35110019,1
"197","H2-Q7","17",35439155,35443773,"17_34817504",17,34817504,1
"198","H2-Q7","17",35439155,35443773,"17_35503627",17,35503627,1
"199","H2-T23","17",36029773,36032855,"17_35503627",17,35503627,1
"200","H2-T23","17",36029773,36032855,"17_36552837.5",17,36552837.5,1
"201","Hexim1","11",103116231,103119725,"2_169688642",2,169688642,0
"202","Hexim1","11",103116231,103119725,"2_170564212",2,170564212,0
"203","Hmgn1","16",96120618,96127729,"2_85122984",2,85122984,0
"204","Hnrnpc","14",52073377,52104028,"14_51632975.5",14,51632975.5,1
"205","Hnrnpc","14",52073377,52104028,"14_52308996",14,52308996,1
"206","Hnrnpr","4",136310942,136359447,"4_135570323.5",4,135570323.5,1
"207","Hp1bp3","4",138216296,138244683,"2_84954715",2,84954715,0
"208","Hp1bp3","4",138216296,138244683,"4_138793827.5",4,138793827.5,1
"209","Hspa1b","17",34956436,34959238,"17_34422715",17,34422715,1
"210","Huwe1","X",151800807,151935417,"8_43471583",8,43471583,0
"211","Huwe1","X",151800807,151935417,"8_44300531",8,44300531,0
"212","Icos","1",60977927,61000320,"1_60252675",1,60252675,1
"213","Idi1","13",8885501,8892451,"6_32664424",6,32664424,0
"214","Idi1","13",8885501,8892451,"13_8618531",13,8618531,1
"215","Idi1","13",8885501,8892451,"13_9286843",13,9286843,1
"216","Ier5l","2",30471537,30474219,"13_59899056.5",13,59899056.5,0
"217","Ier5l","2",30471537,30474219,"13_60419083",13,60419083,0
"218","Ier5l","2",30471537,30474219,"13_61318069.5",13,61318069.5,0
"219","Ier5l","2",30471537,30474219,"13_62856172.5",13,62856172.5,0
"220","Ier5l","2",30471537,30474219,"13_63258154.5",13,63258154.5,0
"221","Ifi35","11",101448407,101458698,"2_84974555",2,84974555,0
"222","Ifitm2","7",140954837,140955987,"7_140276639",7,140276639,1
"223","Ifitm2","7",140954837,140955987,"7_141614569",7,141614569,1
"224","Ifngr1","10",19591949,19610229,"10_19759787",10,19759787,1
"225","Igtp","11",58199556,58207591,"11_57658112.5",11,57658112.5,1
"226","Igtp","11",58199556,58207591,"11_58442410",11,58442410,1
"227","Igtp","11",58199556,58207591,"11_59089838",11,59089838,1
"228","Ikbkb","8",22659212,22706589,"8_37995634",8,37995634,0
"229","Ikbkb","8",22659212,22706589,"8_38596105",8,38596105,0
"230","Ikbkb","8",22659212,22706589,"8_39309948",8,39309948,0
"231","Ikbkb","8",22659212,22706589,"8_40193936",8,40193936,0
"232","Impa1","3",10311956,10331439,"3_9525595",3,9525595,1
"233","Impa1","3",10311956,10331439,"3_10407872",3,10407872,1
"234","Irf1","11",53770014,53778374,"8_41188178",8,41188178,0
"235","Itpr2","6",146108299,146502223,"6_145637963",6,145637963,1
"236","Itpr2","6",146108299,146502223,"6_146145018",6,146145018,1
"237","Jak1","4",101152367,101265282,"4_100663676",4,100663676,1
"238","Jak1","4",101152367,101265282,"4_101262528",4,101262528,1
"239","Jarid2","13",44729474,44921643,"13_45705296",13,45705296,1
"240","Jtb","3",90231597,90235838,"8_40917088",8,40917088,0
"241","Jtb","3",90231597,90235838,"8_41118204",8,41118204,0
"242","Kansl1","11",104333229,104468861,"2_84974555",2,84974555,0
"243","Kif5b","18",6201002,6242174,"2_77568354",2,77568354,0
"244","Klrb1c","6",128778485,128789215,"6_127815707",6,127815707,1
"245","Klrb1c","6",128778485,128789215,"6_128240948",6,128240948,1
"246","Klrb1c","6",128778485,128789215,"6_129403293.5",6,129403293.5,1
"247","Kmt2e","5",23434441,23504235,"5_23918273",5,23918273,1
"248","Kmt2e","5",23434441,23504235,"5_24231764.5",5,24231764.5,1
"249","Lamtor5","3",107278858,107284082,"3_107428708",3,107428708,1
"250","Lamtor5","3",107278858,107284082,"20_141573022",20,141573022,0
"251","Lck","4",129548344,129573641,"2_84974555",2,84974555,0
"252","Lgals3","14",47367751,47386160,"14_46546149",14,46546149,1
"253","Lgals3","14",47367751,47386160,"14_47539659",14,47539659,1
"254","Lgals3","14",47367751,47386160,"14_48128843",14,48128843,1
"255","Lmnb1","18",56707813,56753424,"18_56427905",18,56427905,1
"256","Lrp10","14",54464137,54471497,"14_54439246",14,54439246,1
"257","Lrp10","14",54464137,54471497,"14_55014373",14,55014373,1
"258","Lsm2","17",34981862,34985891,"2_169688642",2,169688642,0
"259","Lsm2","17",34981862,34985891,"2_170594565.5",2,170594565.5,0
"260","Lsm5","6",56701063,56704710,"6_56504712",6,56504712,1
"261","Lsm5","6",56701063,56704710,"6_57555909",6,57555909,1
"262","Ltb4r1","14",55765962,55768494,"2_84954715",2,84954715,0
"263","Ly6e","15",74955051,74959905,"15_74231791",15,74231791,1
"264","Ly6e","15",74955051,74959905,"15_75667136",15,75667136,1
"265","Lypla2","4",135968224,135972626,"2_84769268",2,84769268,0
"266","Map2k2","10",81105915,81133975,"2_169688642",2,169688642,0
"267","Map2k2","10",81105915,81133975,"2_170500925.5",2,170500925.5,0
"268","Map4k4","1",39900913,40026310,"1_39636197.5",1,39636197.5,1
"269","Map4k4","1",39900913,40026310,"1_40154930",1,40154930,1
"270","Mapk1","16",16983382,17047453,"8_40917088",8,40917088,0
"271","Mapk1","16",16983382,17047453,"8_41118204",8,41118204,0
"272","Med30","15",52712408,52730564,"2_84974555",2,84974555,0
"273","Metap2","10",93858489,93897093,"10_93814604",10,93814604,1
"274","Metap2","10",93858489,93897093,"10_94489123.5",10,94489123.5,1
"275","Mff","1",82724890,82752394,"2_84974555",2,84974555,0
"276","Micu1","10",59702477,59864132,"10_58938274",10,58938274,1
"277","Micu1","10",59702477,59864132,"10_59792208.5",10,59792208.5,1
"278","Mif4gd","11",115607918,115612969,"5_42528712",5,42528712,0
"279","Mlec","5",115142981,115158179,"3_145511835",3,145511835,0
"280","Mndal","1",173849126,173880881,"1_173726546",1,173726546,1
"281","Mndal","1",173849126,173880881,"1_174418413",1,174418413,1
"282","Mob2","7",142008535,142061065,"8_43471583",8,43471583,0
"283","Mob2","7",142008535,142061065,"8_44253141",8,44253141,0
"284","Mrps24","11",5703983,5715680,"2_84974555",2,84974555,0
"285","Mrps24","11",5703983,5715680,"2_85122984",2,85122984,0
"286","Ms4a6b","19",11516512,11531256,"19_10715596.5",19,10715596.5,1
"287","Ms4a6b","19",11516512,11531256,"19_11816672.5",19,11816672.5,1
"288","Msrb1","17",24736642,24742778,"6_32482080",6,32482080,0
"289","Msrb1","17",24736642,24742778,"6_33226609.5",6,33226609.5,0
"290","Mydgf","17",56175744,56183920,"2_84974555",2,84974555,0
"291","Mzt2","16",15848441,15863369,"16_15687300",16,15687300,1
"292","Naa38","11",69395487,69396680,"2_82825118",2,82825118,0
"293","Naa38","11",69395487,69396680,"2_83035399",2,83035399,0
"294","Naa50","16",44139830,44163366,"6_128240948",6,128240948,0
"295","Naa50","16",44139830,44163366,"6_129403293.5",6,129403293.5,0
"296","Naa50","16",44139830,44163366,"16_43376841",16,43376841,1
"297","Ndufa11","17",56717767,56722141,"2_81947703",2,81947703,0
"298","Ndufb4","16",37647170,37654453,"2_84974555",2,84974555,0
"299","Necap2","4",141066512,141078357,"4_140559424",4,140559424,1
"300","Necap2","4",141066512,141078357,"4_141509613",4,141509613,1
"301","Nelfb","2",25199712,25211489,"2_24795635",2,24795635,1
"302","Nelfb","2",25199712,25211489,"2_25500359",2,25500359,1
"303","Nkg7","7",43437073,43438249,"7_42951951",7,42951951,1
"304","Nkg7","7",43437073,43438249,"7_43926124",7,43926124,1
"305","Nkg7","7",43437073,43438249,"7_44228302.5",7,44228302.5,1
"306","Nop10","2",112261926,112263269,"2_112978053.5",2,112978053.5,1
"307","Nras","3",103058285,103067914,"2_169688642",2,169688642,0
"308","Nras","3",103058285,103067914,"2_170482018",2,170482018,0
"309","Nt5e","9",88327197,88372092,"2_169688642",2,169688642,0
"310","Nt5e","9",88327197,88372092,"2_170493114.5",2,170493114.5,0
"311","Nub1","5",24685532,24710378,"5_23896958.5",5,23896958.5,1
"312","Nub1","5",24685532,24710378,"5_24230650",5,24230650,1
"313","Nup50","15",84923411,84942963,"8_37995634",8,37995634,0
"314","Nup50","15",84923411,84942963,"8_38596105",8,38596105,0
"315","Nup50","15",84923411,84942963,"8_39309948",8,39309948,0
"316","Nup50","15",84923411,84942963,"8_40193936",8,40193936,0
"317","Nxf1","19",8757073,8770922,"2_169701486",2,169701486,0
"318","Nxf1","19",8757073,8770922,"2_170642516",2,170642516,0
"319","Oat","7",132557478,132576398,"2_169580617",2,169580617,0
"320","Oat","7",132557478,132576398,"2_170642516",2,170642516,0
"321","Oat","7",132557478,132576398,"8_43471583",8,43471583,0
"322","Oat","7",132557478,132576398,"8_44253141",8,44253141,0
"323","Odc1","12",17544794,17551505,"12_17420768.5",12,17420768.5,1
"324","Pak1ip1","13",41001023,41013015,"2_169570760",2,169570760,0
"325","Pak1ip1","13",41001023,41013015,"2_170510283",2,170510283,0
"326","Park7","4",150897133,150914437,"4_151275361",4,151275361,1
"327","Pbxip1","3",89436706,89450952,"3_88950440",3,88950440,1
"328","Pbxip1","3",89436706,89450952,"3_89076982",3,89076982,1
"329","Pdcd4","19",53892231,53929860,"19_53507940",19,53507940,1
"330","Pdcd4","19",53892231,53929860,"19_54187221.5",19,54187221.5,1
"331","Pde5a","3",122728947,122859374,"3_122458232",3,122458232,1
"332","Pde5a","3",122728947,122859374,"3_123520014",3,123520014,1
"333","Pdrg1","2",153008890,153015427,"2_84974555",2,84974555,0
"334","Peli1","11",21091291,21150323,"2_85122984",2,85122984,0
"335","Pfdn4","2",170496428,170519123,"2_170629339.5",2,170629339.5,1
"336","Pfdn4","2",170496428,170519123,"2_171036808",2,171036808,1
"337","Pi4k2a","19",42090470,42122087,"2_84974555",2,84974555,0
"338","Pkn1","8",83666536,83699179,"8_43471583",8,43471583,0
"339","Pkn1","8",83666536,83699179,"8_44300531",8,44300531,0
"340","Pkn2","3",142790902,142882004,"2_169688642",2,169688642,0
"341","Pkn2","3",142790902,142882004,"2_170508114.5",2,170508114.5,0
"342","Plcxd2","16",45959263,46010218,"16_45684055.5",16,45684055.5,1
"343","Plcxd2","16",45959263,46010218,"16_46417296",16,46417296,1
"344","Plekho2","9",65552698,65580040,"9_65830247",9,65830247,1
"345","Plekho2","9",65552698,65580040,"9_66101098",9,66101098,1
"346","Pnrc1","4",33245423,33290163,"11_112422147",11,112422147,0
"347","Polr1d","5",147077050,147111597,"5_147982820",5,147982820,1
"348","Polr2c","8",94857450,94873535,"8_94048088",8,94048088,1
"349","Pop4","7",38261996,38271423,"2_83390907",2,83390907,0
"350","Pop5","5",115235836,115245351,"8_43471583",8,43471583,0
"351","Pop5","5",115235836,115245351,"8_44253141",8,44253141,0
"352","Ppm1h","10",122678762,122945795,"2_84974555",2,84974555,0
"353","Ppp1r3b","8",35375739,35388139,"8_35438130",8,35438130,1
"354","Ppp2r2d","7",138846079,138883057,"7_139574659",7,139574659,1
"355","Ppt2","17",34616662,34628510,"2_84349559.5",2,84349559.5,0
"356","Pram1","17",33638056,33645706,"17_33720431.5",17,33720431.5,1
"357","Prkcsh","9",22002806,22014222,"9_21600423",9,21600423,1
"358","Prkcsh","9",22002806,22014222,"9_22110576",9,22110576,1
"359","Prpf19","19",10895231,10909559,"2_84348415",2,84348415,0
"360","Prpf40a","2",53134704,53191702,"2_84974555",2,84974555,0
"361","Psd4","2",24367580,24414954,"11_67546828",11,67546828,0
"362","Psd4","2",24367580,24414954,"11_68553695",11,68553695,0
"363","Psip1","4",83455680,83486459,"8_37995634",8,37995634,0
"364","Psip1","4",83455680,83486459,"8_38596105",8,38596105,0
"365","Psip1","4",83455680,83486459,"8_39309948",8,39309948,0
"366","Psip1","4",83455680,83486459,"8_40205610",8,40205610,0
"367","Psma4","9",54950790,54958030,"2_85122984",2,85122984,0
"368","Psmc5","11",106256154,106263120,"2_84974555",2,84974555,0
"369","Psme3","11",101316213,101323537,"8_40917088",8,40917088,0
"370","Pura","18",36281097,36292535,"2_84974555",2,84974555,0
"371","Rab35","5",115631908,115647736,"2_169688642",2,169688642,0
"372","Rab35","5",115631908,115647736,"2_170530533.5",2,170530533.5,0
"373","Rab8b","9",66843664,66919687,"9_60194282",9,60194282,0
"374","Rbck1","2",152316334,152332653,"2_151620531.5",2,151620531.5,1
"375","Rbck1","2",152316334,152332653,"2_152651815",2,152651815,1
"376","Rell1","5",63908897,63968897,"5_63394082.5",5,63394082.5,1
"377","Rell1","5",63908897,63968897,"5_64204918",5,64204918,1
"378","Rgcc","14",79288756,79301645,"14_78550857.5",14,78550857.5,1
"379","Rgcc","14",79288756,79301645,"14_79433277.5",14,79433277.5,1
"380","Rgs10","7",128373621,128418758,"7_127788964",7,127788964,1
"381","Rgs10","7",128373621,128418758,"7_128515565",7,128515565,1
"382","Rnase4","14",51091077,51106151,"14_50519230",14,50519230,1
"383","Rnase4","14",51091077,51106151,"14_51548669",14,51548669,1
"384","Rnf130","11",50025346,50125719,"11_49757684.5",11,49757684.5,1
"385","Rnf130","11",50025346,50125719,"11_50097862",11,50097862,1
"386","Rnf4","5",34336289,34355629,"2_84974555",2,84974555,0
"387","Rpl31","1",39367842,39371911,"1_39888877",1,39888877,1
"388","Rpl31","1",39367842,39371911,"1_40267678",1,40267678,1
"389","Rsad1","11",94539798,94549255,"2_83390907",2,83390907,0
"390","Rsbn1l","5",20893028,20956398,"5_20601288",5,20601288,1
"391","Rsbn1l","5",20893028,20956398,"5_21402660.5",5,21402660.5,1
"392","Rtcb","10",85938637,85957823,"2_169688642",2,169688642,0
"393","Rtcb","10",85938637,85957823,"2_170504075.5",2,170504075.5,0
"394","S100a6","3",90612882,90624181,"3_90438140",3,90438140,1
"395","S100a6","3",90612882,90624181,"3_91405899.5",3,91405899.5,1
"396","Samm50","15",84192241,84217267,"8_40917088",8,40917088,0
"397","Samm50","15",84192241,84217267,"8_41118204",8,41118204,0
"398","Sar1b","11",51763687,51791925,"2_169688642",2,169688642,0
"399","Sar1b","11",51763687,51791925,"2_170493114.5",2,170493114.5,0
"400","Sars","3",108424865,108445209,"2_89888158.5",2,89888158.5,0
"401","Sbno1","5",124368702,124426001,"2_83390907",2,83390907,0
