"","gene","gene_chr","gene_start","gene_end","loci","loci_chr","loci_pos","cis_effect"
"81","Bcl2l11","2",128126038,128162547,"8_42317944",8,42317944,0
"82","Bin1","18",32377230,32435737,"2_169688642",2,169688642,0
"83","Birc3","9",7848699,7873186,"8_41188178",8,41188178,0
"84","Bola2","7",126695401,126699798,"7_126344466",7,126344466,1
"85","Brd4","17",32196274,32284722,"17_31335081.5",17,31335081.5,1
"86","Btf3","13",98309896,98317006,"8_37995634",8,37995634,0
"87","Btf3","13",98309896,98317006,"8_38596105",8,38596105,0
"88","Btf3","13",98309896,98317006,"8_39309948",8,39309948,0
"89","Btf3","13",98309896,98317006,"8_40193936",8,40193936,0
"90","Btg2","1",134075170,134079120,"1_133432396",1,133432396,1
"91","Btg2","1",134075170,134079120,"1_134828520",1,134828520,1
"92","Bub3","7",131560222,131571895,"2_169688642",2,169688642,0
"93","Bub3","7",131560222,131571895,"2_170642516",2,170642516,0
"94","Bud31","5",145140362,145148078,"5_144185118",5,144185118,1
"95","Capza1","3",104822779,104864505,"2_77568354",2,77568354,0
"96","Cars","7",143557230,143600090,"6_116902212.5",6,116902212.5,0
"97","Cars","7",143557230,143600090,"6_117415130.5",6,117415130.5,0
"98","Cbx4","11",119077573,119086221,"2_84769268",2,84769268,0
"99","Cbx7","15",79915807,79971119,"15_79634122.5",15,79634122.5,1
"100","Cbx7","15",79915807,79971119,"15_80762209",15,80762209,1
"101","Ccdc12","9",110656503,110711606,"2_84974555",2,84974555,0
"102","Ccdc124","8",70868227,70873935,"8_37691478",8,37691478,0
"103","Ccnd2","6",127125162,127152193,"6_127505641",6,127505641,1
"104","Ccnd3","17",47505051,47599691,"2_169688642",2,169688642,0
"105","Ccnd3","17",47505051,47599691,"2_170642516",2,170642516,0
"106","Ccndbp1","2",121008403,121016904,"2_120759953.5",2,120759953.5,1
"107","Cct3","3",88297116,88321767,"3_88549740",3,88549740,1
"108","Cd52","4",134082448,134095082,"4_133538064",4,133538064,1
"109","Cept1","3",106502260,106547802,"11_113526771",11,113526771,0
"110","Cfap36","11",29221532,29247409,"2_90641665",2,90641665,0
"111","Cfap36","11",29221532,29247409,"8_42317944",8,42317944,0
"112","Chad","11",94565047,94569127,"11_94966781",11,94966781,1
"113","Chad","11",94565047,94569127,"11_95038590",11,95038590,1
"114","Chd2","7",73426638,73541830,"8_43471583",8,43471583,0
"115","Chd2","7",73426638,73541830,"8_44253141",8,44253141,0
"116","Chd4","6",125095981,125130591,"6_124536603",6,124536603,1
"117","Chd4","6",125095981,125130591,"6_125118405.5",6,125118405.5,1
"118","Cisd2","3",135406412,135423925,"3_135285123",3,135285123,1
"119","Clp1","2",84722104,84727350,"8_42317944",8,42317944,0
"120","Clp1","2",84722104,84727350,"13_59899056.5",13,59899056.5,0
"121","Clp1","2",84722104,84727350,"13_60419083",13,60419083,0
"122","Clp1","2",84722104,84727350,"13_61318069.5",13,61318069.5,0
"123","Clp1","2",84722104,84727350,"13_62856172.5",13,62856172.5,0
"124","Clp1","2",84722104,84727350,"13_63258154.5",13,63258154.5,0
"125","Cmpk1","4",114959336,114987241,"2_169688642",2,169688642,0
"126","Cmpk1","4",114959336,114987241,"2_170642516",2,170642516,0
"127","Cnot2","10",116485161,116581511,"2_90763683",2,90763683,0
"128","Cnot2","10",116485161,116581511,"8_42317944",8,42317944,0
"129","Cnot6","11",49671503,49712723,"6_32482080",6,32482080,0
"130","Cnot6","11",49671503,49712723,"6_33012717.5",6,33012717.5,0
"131","Cnp","11",100574904,100591729,"11_100739581.5",11,100739581.5,1
"132","Commd4","9",57155035,57158331,"8_37715900",8,37715900,0
"133","Copb1","7",114215559,114254711,"7_113589351.5",7,113589351.5,1
"134","Copb1","7",114215559,114254711,"7_114612196",7,114612196,1
"135","Cops6","5",138161071,138164646,"9_26521492",9,26521492,0
"136","Cops8","1",90602981,90613341,"1_89632238",1,89632238,1
"137","Cops8","1",90602981,90613341,"1_90362766",1,90362766,1
"138","Cx3cl1","8",94772009,94782427,"8_43471583",8,43471583,0
"139","Cx3cl1","8",94772009,94782427,"8_44253141",8,44253141,0
"140","Cxcl10","5",92346638,92348889,"5_91787641.5",5,91787641.5,1
"141","Cxcl10","5",92346638,92348889,"5_92464221",5,92464221,1
"142","Cxcl10","5",92346638,92348889,"5_93220416.5",5,93220416.5,1
"143","Cxcr4","1",128588199,128592293,"1_128520572",1,128520572,1
"144","Cxcr4","1",128588199,128592293,"1_129472070",1,129472070,1
"145","Cyba","8",122424776,122432930,"8_121495945.5",8,121495945.5,1
"146","Cyba","8",122424776,122432930,"8_122027147",8,122027147,1
"147","Cyfip2","11",46193850,46312859,"11_46449254.5",11,46449254.5,1
"148","Cyp51","5",4081145,4104746,"5_3573847",5,3573847,1
"149","Cyp51","5",4081145,4104746,"5_4280784.5",5,4280784.5,1
"150","Cyp51","5",4081145,4104746,"8_41288646",8,41288646,0
"151","D16Ertd472e","16",78540338,78576708,"8_42317944",8,42317944,0
"152","Ddx39b","17",35241746,35253707,"2_84974555",2,84974555,0
"153","Dexi","16",10502531,10543054,"2_90641665",2,90641665,0
"154","Dexi","16",10502531,10543054,"8_42317944",8,42317944,0
"155","Diablo","5",123509765,123524176,"2_90641665",2,90641665,0
"156","Diablo","5",123509765,123524176,"8_42317944",8,42317944,0
"157","Diaph1","18",37843601,37935476,"8_43471583",8,43471583,0
"158","Diaph1","18",37843601,37935476,"8_44253141",8,44253141,0
"159","Dnajb9","12",44205559,44210326,"2_77568354",2,77568354,0
"160","Dnajb9","12",44205559,44210326,"12_44462307",12,44462307,1
"161","Eif3c","7",126546455,126566411,"2_84974555",2,84974555,0
"162","Eif3g","9",20894349,20898623,"9_20586840",9,20586840,1
"163","Eif3g","9",20894349,20898623,"9_21542790",9,21542790,1
"164","Elavl1","8",4285382,4325413,"8_3413980",8,3413980,1
"165","Elavl1","8",4285382,4325413,"8_4311294",8,4311294,1
"166","Emc10","7",44489937,44496529,"7_44733459",7,44733459,1
"167","Eprs","1",185363044,185428360,"13_59899056.5",13,59899056.5,0
"168","Eprs","1",185363044,185428360,"13_60419083",13,60419083,0
"169","Eprs","1",185363044,185428360,"13_61318069.5",13,61318069.5,0
"170","Eprs","1",185363044,185428360,"13_62856172.5",13,62856172.5,0
"171","Eprs","1",185363044,185428360,"13_63258154.5",13,63258154.5,0
"172","Erh","12",80634022,80644341,"8_43471583",8,43471583,0
"173","Erh","12",80634022,80644341,"8_44300531",8,44300531,0
"174","Errfi1","4",150853919,150868892,"8_41275524",8,41275524,0
"175","Espn","4",152120331,152152371,"8_40917088",8,40917088,0
"176","Espn","4",152120331,152152371,"8_41118204",8,41118204,0
"177","Espn","4",152120331,152152371,"16_32673442",16,32673442,0
"178","Espn","4",152120331,152152371,"16_33557713",16,33557713,0
"179","Etfa","9",55454508,55512243,"9_55602201.5",9,55602201.5,1
"180","Etfb","7",43444083,43457800,"7_42498734",7,42498734,1
"181","Fam104a","11",113661319,113684155,"11_113227995",11,113227995,1
"182","Fam129a","1",151571186,151721939,"6_32482080",6,32482080,0
"183","Fam129a","1",151571186,151721939,"6_33562641",6,33562641,0
"184","Fam168b","1",34813219,34843065,"1_33845801.5",1,33845801.5,1
"185","Ffar2","7",30818348,30823775,"2_169688642",2,169688642,0
"186","Ffar2","7",30818348,30823775,"2_170519748",2,170519748,0
"187","Fgl2","5",21372642,21378374,"5_20906574",5,20906574,1
"188","Fgl2","5",21372642,21378374,"5_21103641",5,21103641,1
"189","Frg1","8",41397459,41417074,"2_169688642",2,169688642,0
"190","Frg1","8",41397459,41417074,"2_170493114.5",2,170493114.5,0
"191","Frg1","8",41397459,41417074,"8_42317944",8,42317944,1
"192","Gapdh","6",125161715,125166467,"2_170515015.5",2,170515015.5,0
"193","Gapdh","6",125161715,125166467,"6_124269993.5",6,124269993.5,1
"194","Gapdh","6",125161715,125166467,"6_125683727",6,125683727,1
"195","Gapdh","6",125161715,125166467,"6_126013212",6,126013212,1
"196","Ggnbp2","11",84832361,84870817,"2_170581334.5",2,170581334.5,0
"197","Gjb2","14",57098600,57104702,"11_21582201.5",11,21582201.5,0
"198","Gjb2","14",57098600,57104702,"11_22507592",11,22507592,0
"199","Glipr1","10",111985448,112002631,"2_79342066",2,79342066,0
"200","Glud1","14",34310727,34345265,"8_43471583",8,43471583,0
"201","Glud1","14",34310727,34345265,"8_44300531",8,44300531,0
"202","Gna13","11",109362831,109401369,"11_108607852.5",11,108607852.5,1
"203","Gna13","11",109362831,109401369,"11_109558791.5",11,109558791.5,1
"204","Gng12","6",66896397,67021350,"6_66382007",6,66382007,1
"205","Gng12","6",66896397,67021350,"6_67334223",6,67334223,1
"206","Gnl3","14",31012433,31019152,"8_41288646",8,41288646,0
"207","Gnl3","14",31012433,31019152,"8_42317944",8,42317944,0
"208","Grb2","11",115644045,115708597,"11_116345231",11,116345231,1
"209","H2-D1","17",35262730,35267499,"17_35962755",17,35962755,1
"210","H2-K1","17",33996017,34000347,"17_34858865.5",17,34858865.5,1
"211","H2-Q4","17",35379617,35385290,"17_34817504",17,34817504,1
"212","H2-Q4","17",35379617,35385290,"17_35503627",17,35503627,1
"213","H2-Q7","17",35439155,35443773,"17_34817504",17,34817504,1
"214","H2-Q7","17",35439155,35443773,"17_35419855",17,35419855,1
"215","H2-T23","17",36029773,36032855,"17_35503627",17,35503627,1
"216","H2-T23","17",36029773,36032855,"17_36552837.5",17,36552837.5,1
"217","Hcst","7",30417712,30419854,"7_30305747",7,30305747,1
"218","Hdac1","4",129516104,129542713,"8_43471583",8,43471583,0
"219","Hdac1","4",129516104,129542713,"8_44253141",8,44253141,0
"220","Hebp1","6",135137522,135198022,"6_134253958",6,134253958,1
"221","Higd1a","9",121848563,121858362,"8_43471583",8,43471583,0
"222","Higd1a","9",121848563,121858362,"8_44300531",8,44300531,0
"223","Hnrnpc","14",52073377,52104028,"14_51632975.5",14,51632975.5,1
"224","Hnrnpc","14",52073377,52104028,"14_52308996",14,52308996,1
"225","Hnrnpf","6",117900324,117925622,"6_117619999",6,117619999,1
"226","Hnrnpf","6",117900324,117925622,"6_118255377",6,118255377,1
"227","Hpcal1","12",17690856,17791933,"6_32482080",6,32482080,0
"228","Hpcal1","12",17690856,17791933,"6_33561301",6,33561301,0
"229","Icos","1",60977927,61000320,"1_60271040",1,60271040,1
"230","Ifitm2","7",140954837,140955987,"7_140279763.5",7,140279763.5,1
"231","Ifitm2","7",140954837,140955987,"7_141614569",7,141614569,1
"232","Ift20","11",78536361,78541737,"2_169688642",2,169688642,0
"233","Ift20","11",78536361,78541737,"2_170642516",2,170642516,0
"234","Il1r1","1",40225080,40317257,"1_39869242",1,39869242,1
"235","Il23r","6",67422932,67491855,"2_84974555",2,84974555,0
"236","Irf8","8",120736358,120756694,"8_121432490.5",8,121432490.5,1
"237","Itgb7","15",102215995,102231944,"2_169688642",2,169688642,0
"238","Itgb7","15",102215995,102231944,"2_170493114.5",2,170493114.5,0
"239","Itpr1","6",108213096,108551109,"6_107513256",6,107513256,1
"240","Itpr1","6",108213096,108551109,"6_108159612",6,108159612,1
"241","Kctd10","5",114363567,114380508,"5_114938452",5,114938452,1
"242","Kctd10","5",114363567,114380508,"8_42317944",8,42317944,0
"243","Kit","5",75574916,75656722,"5_75941517.5",5,75941517.5,1
"244","Kit","5",75574916,75656722,"5_76181324",5,76181324,1
"245","Klrb1b","6",128813706,128826331,"6_128240948",6,128240948,1
"246","Klrb1b","6",128813706,128826331,"6_129403293.5",6,129403293.5,1
"247","Krcc1","6",71271677,71285319,"14_56551395",14,56551395,0
"248","Krcc1","6",71271677,71285319,"18_22588067.5",18,22588067.5,0
"249","Krtcap2","3",89245966,89249906,"3_88527590",3,88527590,1
"250","Lamp1","8",13159161,13175338,"8_12195291",8,12195291,1
"251","Lamp1","8",13159161,13175338,"8_13547500",8,13547500,1
"252","Lamtor2","3",88549819,88553074,"2_84974555",2,84974555,0
"253","Leng1","7",3660098,3665840,"6_32696338",6,32696338,0
"254","Leng1","7",3660098,3665840,"6_33012717.5",6,33012717.5,0
"255","Lgals3","14",47367751,47386160,"14_46730302.5",14,46730302.5,1
"256","Lgals3","14",47367751,47386160,"14_47539659",14,47539659,1
"257","Llph","10",120227070,120232582,"8_43471583",8,43471583,0
"258","Llph","10",120227070,120232582,"8_44300531",8,44300531,0
"259","Lrrc58","16",37868389,37888858,"2_82574674",2,82574674,0
"260","Lrrc58","16",37868389,37888858,"2_83390907",2,83390907,0
"261","Lrrc58","16",37868389,37888858,"2_90568723",2,90568723,0
"262","Lrrc58","16",37868389,37888858,"8_41262402",8,41262402,0
"263","Lrrc58","16",37868389,37888858,"8_42317944",8,42317944,0
"264","Maf1","15",76351294,76354380,"2_169688642",2,169688642,0
"265","Maf1","15",76351294,76354380,"2_170561070.5",2,170561070.5,0
"266","Man1a","10",53904785,54076609,"8_41275524",8,41275524,0
"267","Man1a","10",53904785,54076609,"8_42317944",8,42317944,0
"268","Map3k14","11",103219762,103267472,"2_90691775",2,90691775,0
"269","Map3k14","11",103219762,103267472,"8_42317944",8,42317944,0
"270","Map4k4","1",39900913,40026310,"1_39425723",1,39425723,1
"271","Map4k4","1",39900913,40026310,"1_40396238",1,40396238,1
"272","Mapk1","16",16983382,17047453,"2_169702065.5",2,169702065.5,0
"273","Mapk1","16",16983382,17047453,"2_170486583",2,170486583,0
"274","Mat2a","6",72432799,72439558,"6_72442592.5",6,72442592.5,1
"275","Mat2a","6",72432799,72439558,"6_73121282",6,73121282,1
"276","Mdm2","10",117688875,117710758,"10_117989242",10,117989242,1
"277","Med20","17",47611582,47624418,"15_80843881.5",15,80843881.5,0
"278","Med20","17",47611582,47624418,"15_81403010.5",15,81403010.5,0
"279","Med21","6",146642547,146650732,"6_146382042",6,146382042,1
"280","Med29","7",28386146,28392708,"7_27507120",7,27507120,1
"281","Metap2","10",93858489,93897093,"10_93746651",10,93746651,1
"282","Metap2","10",93858489,93897093,"10_94522385",10,94522385,1
"283","Mier1","4",103114390,103165754,"8_43471583",8,43471583,0
"284","Mier1","4",103114390,103165754,"8_44253141",8,44253141,0
"285","Mkrn1","6",39397804,39420462,"2_171442822",2,171442822,0
"286","Mkrn1","6",39397804,39420462,"2_172459006",2,172459006,0
"287","Mkrn1","6",39397804,39420462,"8_43471583",8,43471583,0
"288","Mkrn1","6",39397804,39420462,"8_44300531",8,44300531,0
"289","Mpc1","17",8282904,8297661,"2_35756036",2,35756036,0
"290","Mpc1","17",8282904,8297661,"2_36262516",2,36262516,0
"291","Mpc1","17",8282904,8297661,"2_37531795.5",2,37531795.5,0
"292","Mpc1","17",8282904,8297661,"2_38478097",2,38478097,0
"293","Mrpl24","3",87919506,87923672,"2_37531795.5",2,37531795.5,0
"294","Mrpl24","3",87919506,87923672,"2_38478097",2,38478097,0
"295","Mrpl33","5",31596935,31664384,"2_35756036",2,35756036,0
"296","Mrpl33","5",31596935,31664384,"2_36262516",2,36262516,0
"297","Mrpl33","5",31596935,31664384,"2_37531795.5",2,37531795.5,0
"298","Mrpl33","5",31596935,31664384,"2_38478097",2,38478097,0
"299","Mrpl33","5",31596935,31664384,"2_39209052",2,39209052,0
"300","Mrpl33","5",31596935,31664384,"2_40659351",2,40659351,0
"301","Mrpl33","5",31596935,31664384,"2_41124193",2,41124193,0
"302","Mrpl4","9",21002738,21008839,"2_48373189.5",2,48373189.5,0
"303","Mrpl4","9",21002738,21008839,"2_49623318.5",2,49623318.5,0
"304","Mrps7","11",115603925,115608036,"11_114878623.5",11,114878623.5,1
"305","Mrps7","11",115603925,115608036,"11_115054940",11,115054940,1
"306","Msi2","11",88339382,88718513,"8_43471583",8,43471583,0
"307","Msi2","11",88339382,88718513,"8_44300531",8,44300531,0
"308","Mta2","19",8941875,8952303,"8_42317944",8,42317944,0
"309","Mzt2","16",15848441,15863369,"16_14891444",16,14891444,1
"310","Mzt2","16",15848441,15863369,"16_15717119",16,15717119,1
"311","Mzt2","16",15848441,15863369,"16_16429133.5",16,16429133.5,1
"312","Nars","18",64499647,64516652,"15_80843881.5",15,80843881.5,0
"313","Nars","18",64499647,64516652,"15_81403010.5",15,81403010.5,0
"314","Nars","18",64499647,64516652,"15_82404619",15,82404619,0
"315","Ndufa10","1",92439010,92473860,"2_169688642",2,169688642,0
"316","Ndufa10","1",92439010,92473860,"2_170493114.5",2,170493114.5,0
"317","Ndufb10","17",24722060,24724478,"2_84974555",2,84974555,0
"318","Ndufb8","19",44548572,44555440,"2_84954715",2,84954715,0
"319","Ndufs6","13",73319838,73328542,"2_169651663.5",2,169651663.5,0
"320","Ndufs6","13",73319838,73328542,"2_170515015.5",2,170515015.5,0
"321","Ndufv3","17",31520115,31531331,"2_84974555",2,84974555,0
"322","Necap2","4",141066512,141078357,"4_140590106",4,140590106,1
"323","Necap2","4",141066512,141078357,"4_141509613",4,141509613,1
"324","Nek7","1",138482875,138620141,"2_82023504.5",2,82023504.5,0
"325","Nek7","1",138482875,138620141,"2_90512466",2,90512466,0
"326","Nek7","1",138482875,138620141,"8_42317944",8,42317944,0
"327","Nelfb","2",25199712,25211489,"2_25501058.5",2,25501058.5,1
"328","Nfe2l2","2",75675513,75704641,"2_90666540",2,90666540,0
"329","Nfe2l2","2",75675513,75704641,"8_42317944",8,42317944,0
"330","Ngdn","14",55015454,55024137,"8_42317944",8,42317944,0
"331","Nktr","9",121719169,121756843,"2_169688642",2,169688642,0
"332","Nktr","9",121719169,121756843,"2_170530533.5",2,170530533.5,0
"333","Nmrk1","19",18631950,18652428,"19_18679511.5",19,18679511.5,1
"334","Nop58","1",59684971,59719044,"8_42317944",8,42317944,0
"335","Nr3c1","18",39410545,39519421,"4_155612363.5",4,155612363.5,0
"336","Nr3c1","18",39410545,39519421,"13_59899056.5",13,59899056.5,0
"337","Nr3c1","18",39410545,39519421,"13_60419083",13,60419083,0
"338","Nr3c1","18",39410545,39519421,"13_61318069.5",13,61318069.5,0
"339","Nr3c1","18",39410545,39519421,"13_62856172.5",13,62856172.5,0
"340","Nr3c1","18",39410545,39519421,"13_63258154.5",13,63258154.5,0
"341","Nrip1","16",76287400,76373827,"16_75355720",16,75355720,1
"342","Nrip1","16",76287400,76373827,"16_76257240.5",16,76257240.5,1
"343","Nrp1","8",128358604,128503363,"8_127467590",8,127467590,1
"344","Nsmce4a","7",130532526,130573118,"2_169688642",2,169688642,0
"345","Nsmce4a","7",130532526,130573118,"2_170642516",2,170642516,0
"346","Nudc","4",133532542,133545996,"4_134475906",4,134475906,1
"347","Odc1","12",17544794,17551505,"12_16928300",12,16928300,1
"348","Odc1","12",17544794,17551505,"12_17412285",12,17412285,1
"349","Ogt","X",101640060,101684351,"2_169701486",2,169701486,0
"350","Ogt","X",101640060,101684351,"2_170486583",2,170486583,0
"351","Opa3","7",19228334,19256543,"2_90679157.5",2,90679157.5,0
"352","Opa3","7",19228334,19256543,"8_42317944",8,42317944,0
"353","Os9","10",127095650,127121131,"2_169688642",2,169688642,0
"354","Os9","10",127095650,127121131,"2_170642516",2,170642516,0
"355","Ostc","3",130695912,130709444,"2_169675798",2,169675798,0
"356","Ostc","3",130695912,130709444,"2_170500925.5",2,170500925.5,0
"357","Pabpn1","14",54892500,54898169,"11_23413226",11,23413226,0
"358","Pafah1b1","11",74673949,74724670,"11_74819490",11,74819490,1
"359","Pafah1b1","11",74673949,74724670,"11_75303269",11,75303269,1
"360","Pdcd6ip","9",113651744,113708259,"8_43471583",8,43471583,0
"361","Pdcd6ip","9",113651744,113708259,"8_44253141",8,44253141,0
"362","Pea15a","1",172196728,172206804,"1_172355753.5",1,172355753.5,1
"363","Phb2","6",124712336,124716950,"6_125658140",6,125658140,1
"364","Phf3","1",30802339,30873921,"2_82323668",2,82323668,0
"365","Phf3","1",30802339,30873921,"2_90691775",2,90691775,0
"366","Phf3","1",30802339,30873921,"8_42317944",8,42317944,0
"367","Phip","9",82866159,82975516,"9_82732342",9,82732342,1
"368","Pitpna","11",75588097,75628804,"2_169688642",2,169688642,0
"369","Pitpna","11",75588097,75628804,"2_170642516",2,170642516,0
"370","Pja1","X",99465734,99471273,"8_43471583",8,43471583,0
"371","Pja1","X",99465734,99471273,"8_44253141",8,44253141,0
"372","Pkm","9",59656368,59679375,"3_123520014",3,123520014,0
"373","Plekhb2","1",34849976,34879580,"2_90568723",2,90568723,0
"374","Plekhb2","1",34849976,34879580,"8_42317944",8,42317944,0
"375","Plekho2","9",65552698,65580040,"9_64704365",9,64704365,1
"376","Plekho2","9",65552698,65580040,"9_65497199",9,65497199,1
"377","Plekho2","9",65552698,65580040,"9_66464795.5",9,66464795.5,1
"378","Pnisr","4",21847583,21876475,"8_43471583",8,43471583,0
"379","Pnisr","4",21847583,21876475,"8_44300531",8,44300531,0
"380","Polr2m","9",71478437,71485935,"9_71493830",9,71493830,1
"381","Ppig","2",69722545,69754012,"2_69182326",2,69182326,1
"382","Ppig","2",69722545,69754012,"2_70515362",2,70515362,1
"383","Ppp1r15a","7",45522916,45526268,"2_85122984",2,85122984,0
"384","Ppp1r2","16",31251537,31275277,"16_30654293",16,30654293,1
"385","Ppp4c","7",126785866,126792496,"2_84974555",2,84974555,0
"386","Prdx2","8",84969587,84974834,"8_42282911",8,42282911,0
"387","Prelid1","13",55320500,55325272,"8_42282911",8,42282911,0
"388","Prelid2","18",41875600,41951242,"2_169688642",2,169688642,0
"389","Prelid2","18",41875600,41951242,"2_170642516",2,170642516,0
"390","Prelid2","18",41875600,41951242,"8_43471583",8,43471583,0
"391","Prelid2","18",41875600,41951242,"8_44253141",8,44253141,0
"392","Prkar1a","11",109649405,109669656,"11_109558791.5",11,109558791.5,1
"393","Prkar1a","11",109649405,109669656,"11_110457822",11,110457822,1
"394","Prmt1","7",44975989,44986568,"8_37292642",8,37292642,0
"395","Prpsap1","11",116470845,116494202,"8_37292642",8,37292642,0
"396","Psma3","12",70974621,70996347,"8_37995634",8,37995634,0
"397","Psma3","12",70974621,70996347,"8_38596105",8,38596105,0
"398","Psma3","12",70974621,70996347,"8_39309948",8,39309948,0
